STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,citizen,Country of citizenship,sex,Sex,applicant,Applicant type,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2015-11,,17580,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2015-12,,14805,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2016-01,,18450,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2016-02,,23905,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2016-03,,21460,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2016-04,,22045,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2016-05,,20580,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2016-06,,26705,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2016-07,,26410,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2016-08,,33230,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2016-09,,27825,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2016-10,,11510,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2016-11,,9020,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2016-12,,6610,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2017-01,,6930,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2017-02,,6570,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2017-03,,7530,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2017-04,,5680,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2017-05,,6365,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2017-06,,5810,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2017-07,,6565,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2017-08,,7505,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2017-09,,6600,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2017-10,,6470,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2017-11,,7240,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2017-12,,5125,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2018-01,,7040,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2018-02,,6010,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2018-03,,5950,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2018-04,,5510,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2018-05,,5290,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2018-06,,5950,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2018-07,,6615,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2018-08,,6430,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2018-09,,5640,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2018-10,,6140,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2018-11,,5720,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2018-12,,3770,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2019-01,,6510,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2019-02,,5645,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2019-03,,5050,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2019-04,,5010,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2019-05,,5355,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2019-06,,4080,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2019-07,,5965,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2019-08,,5455,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2019-09,,5200,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2019-10,,5235,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2019-11,,4815,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2019-12,,3635,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2020-01,,5685,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2020-02,,4670,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2020-03,,3480,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2020-04,,2395,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2020-05,,1990,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2020-06,,2445,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2020-07,,3725,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2020-08,,3425,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2020-09,,4470,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2020-10,,4025,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2020-11,,4010,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2020-12,,2885,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2021-01,,3685,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2021-02,,3570,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2021-03,,4545,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2021-04,,4145,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2021-05,,4330,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2021-06,,5015,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2021-07,,5890,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2021-08,,5680,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2021-09,,6250,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2021-10,,5830,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2021-11,,6780,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2021-12,,4855,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2022-01,,5870,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2022-02,,5535,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2022-03,,5850,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2022-04,,4750,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2022-05,,5115,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2022-06,,4695,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2022-07,,4965,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2022-08,,5715,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2022-09,,6030,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2022-10,,6655,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2022-11,,8190,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2022-12,,6725,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZM(1.0),"Asylum applicants by type, citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),F,Females,FRST,First time applicant,TOTAL,Total,DE,Germany,2023-01,,7910,,,,,
